2026-03-13 11:40:57,538 | INFO | ui_automation | Starting remote browser session
2026-03-13 11:41:03,112 | INFO | ui_automation | Opening login page
2026-03-13 11:41:04,236 | INFO | ui_automation | Closing browser session
2026-03-13 11:41:04,352 | INFO | ui_automation | Starting remote browser session
2026-03-13 11:41:07,247 | INFO | ui_automation | Opening login page for invalid login scenario
2026-03-13 11:41:08,139 | INFO | ui_automation | Closing browser session
2026-03-13 11:41:08,320 | INFO | ui_automation | Starting remote browser session
2026-03-13 11:41:10,686 | INFO | ui_automation | Opening login page for invalid login scenario
2026-03-13 11:41:11,314 | INFO | ui_automation | Closing browser session
2026-03-13 11:41:11,439 | INFO | ui_automation | Starting remote browser session
2026-03-13 11:41:12,347 | INFO | ui_automation | Opening login page for invalid login scenario
2026-03-13 11:41:13,283 | INFO | ui_automation | Closing browser session
