2026-03-13 11:58:27,787 | INFO | ui_automation | Starting remote browser session
2026-03-13 11:58:29,464 | INFO | ui_automation | Opening login page
2026-03-13 11:58:30,279 | INFO | ui_automation | Logging in as admin
2026-03-13 11:58:35,877 | INFO | ui_automation | Closing browser session
2026-03-13 11:58:36,010 | INFO | ui_automation | Starting remote browser session
2026-03-13 11:58:37,332 | INFO | ui_automation | Opening login page for invalid login scenario
2026-03-13 11:58:57,068 | INFO | ui_automation | Closing browser session
2026-03-13 11:58:57,315 | INFO | ui_automation | Starting remote browser session
2026-03-13 11:58:58,285 | INFO | ui_automation | Opening login page for invalid login scenario
2026-03-13 11:59:18,167 | INFO | ui_automation | Closing browser session
2026-03-13 11:59:18,428 | INFO | ui_automation | Starting remote browser session
2026-03-13 11:59:19,610 | INFO | ui_automation | Opening login page for invalid login scenario
2026-03-13 11:59:39,596 | INFO | ui_automation | Closing browser session
